time,Q1,T1,Tsp1,Q2,T2,Tsp2
0.0,0.0,24.12,24.12,0.0,23.8,23.8
3.010911464691162,,24.12,24.12,,23.8,23.8
8.149264574050903,,24.12,24.12,,23.8,23.8
13.072458267211914,,24.12,24.12,,23.8,23.8
18.12323808670044,,24.12,24.12,,23.8,23.8
23.05846381187439,,24.12,24.12,,23.8,23.8
28.017483234405518,,24.12,24.12,,23.8,23.8
32.925655126571655,,24.12,24.12,,23.8,23.8
37.80132508277893,,24.12,24.12,,23.8,23.8
42.85503602027893,,24.12,24.12,,23.8,23.8
47.7510142326355,,24.12,24.12,,23.8,23.8
52.65461349487305,,24.12,24.12,,23.8,23.8
57.626171588897705,,24.12,24.12,,23.8,23.8
62.51314616203308,,24.12,24.12,,23.8,23.8
67.40352201461792,,24.12,24.12,,23.8,23.8
72.28374314308167,,24.12,45.0,,23.8,45.0
77.22311544418335,,24.12,45.0,,23.8,45.0
82.10093808174133,,24.12,45.0,,23.8,45.0
87.01493740081787,,24.12,45.0,,23.8,45.0
92.16329765319824,,24.12,45.0,,23.8,45.0
97.03491473197937,,24.12,45.0,,23.8,45.0
101.93321061134338,,24.12,45.0,,23.8,45.0
106.80352854728699,,24.12,45.0,,23.8,45.0
111.70881199836731,,24.12,45.0,,23.8,45.0
116.67226576805115,,24.12,45.0,,23.8,45.0
121.56821966171265,,24.12,45.0,,23.8,45.0
126.43900775909424,,24.12,45.0,,23.8,45.0
131.3801670074463,,24.12,45.0,,23.77,45.0
136.26013112068176,,24.12,45.0,,23.73,45.0
141.14019989967346,,24.12,45.0,,23.77,45.0
146.053236246109,,24.12,45.0,,23.73,45.0
150.98021149635315,,24.12,45.0,,23.73,45.0
155.83254623413086,,24.12,45.0,,23.73,45.0
160.7210042476654,,24.12,45.0,,23.77,45.0
165.76276326179504,,24.12,45.0,,23.73,45.0
170.69185209274292,,24.12,45.0,,23.8,45.0
175.59976625442505,,24.12,45.0,,23.77,45.0
180.51233220100403,,24.12,45.0,,23.73,45.0
185.4130277633667,,24.12,45.0,,23.77,45.0
190.48073744773865,,24.12,45.0,,23.8,45.0
195.3623275756836,,24.12,45.0,,23.7,45.0
200.2569935321808,,24.12,45.0,,23.7,45.0
205.22240114212036,,24.12,45.0,,23.77,45.0
210.11638641357422,,24.12,45.0,,23.7,45.0
214.9725148677826,,24.12,45.0,,23.64,45.0
219.85852098464966,,24.12,45.0,,23.67,45.0
224.73482418060303,,24.12,45.0,,23.67,45.0
229.61518716812134,,24.12,45.0,,23.64,45.0
234.46129608154297,,24.12,45.0,,23.77,45.0
239.41052842140198,,24.12,45.0,,23.67,45.0
244.27362418174744,,24.12,45.0,,23.77,45.0
249.16734313964844,,24.12,45.0,,23.73,45.0
254.03799295425415,,24.12,45.0,,23.61,45.0
258.97170758247375,,24.12,45.0,,23.54,45.0
263.930456161499,,24.12,45.0,,23.51,45.0
268.78566789627075,,24.12,45.0,,23.61,45.0
273.7191958427429,,24.12,45.0,,23.57,45.0
278.5752577781677,,24.12,45.0,,23.54,45.0
283.4475202560425,,24.12,45.0,,23.67,45.0
288.3203978538513,,24.12,45.0,,23.61,45.0
293.23394989967346,,24.12,45.0,,23.57,45.0
298.10869097709656,,24.12,45.0,,23.51,45.0
303.08983039855957,,24.12,45.0,,23.48,45.0
307.96882247924805,,24.12,45.0,,23.51,45.0
312.8931317329407,,24.12,45.0,,23.54,45.0
317.7734453678131,,24.12,45.0,,23.51,45.0
322.6443417072296,,24.12,45.0,,23.54,45.0
327.5553231239319,,24.12,45.0,,23.51,45.0
332.58963441848755,,24.12,45.0,,23.51,45.0
337.4627363681793,,24.12,45.0,,23.51,45.0
342.40588760375977,,24.12,45.0,,23.48,45.0
347.3439130783081,,24.09,45.0,,23.54,45.0
352.22720289230347,,24.12,45.0,,23.51,45.0
357.19411277770996,,24.12,45.0,,23.48,45.0
362.0941712856293,,24.12,45.0,,23.54,45.0
367.1585216522217,,24.12,45.0,,23.48,45.0
372.0477440357208,,24.12,45.0,,23.51,45.0
376.9347004890442,,24.12,45.0,,23.48,45.0
381.85861682891846,,24.12,45.0,,23.48,45.0
386.75641989707947,,24.12,45.0,,23.48,45.0
391.70074820518494,,24.12,45.0,,23.51,45.0
396.5941996574402,,24.12,45.0,,23.48,45.0
401.5582458972931,,24.12,45.0,,23.48,45.0
406.46896743774414,,24.12,45.0,,23.48,45.0
411.3890805244446,,24.12,45.0,,23.48,45.0
416.333758354187,,24.12,45.0,,23.48,45.0
421.2511987686157,,24.12,45.0,,23.51,45.0
426.09830141067505,,24.12,45.0,,23.48,45.0
431.05787086486816,,24.12,45.0,,23.48,45.0
435.96218633651733,,24.12,45.0,,23.48,45.0
440.82766342163086,,24.12,45.0,,23.48,45.0
445.727659702301,,24.12,45.0,,23.51,45.0
450.60019755363464,,24.12,45.0,,23.48,45.0
455.51612877845764,,24.12,45.0,,23.48,45.0
460.3761112689972,,24.12,45.0,,23.48,45.0
465.3606834411621,,24.12,45.0,,23.48,45.0
470.22164130210876,,24.12,45.0,,23.48,45.0
475.3085939884186,,24.12,45.0,,23.48,45.0
480.18770146369934,,24.12,45.0,,23.48,45.0
485.0544316768646,,24.12,45.0,,23.51,45.0
489.96235060691833,,24.12,45.0,,23.48,45.0
494.8190929889679,,24.12,45.0,,23.48,45.0
499.6676208972931,,24.12,45.0,,23.48,45.0
504.57928705215454,,24.12,45.0,,23.48,45.0
509.8863821029663,,24.12,45.0,,23.51,45.0
514.923868894577,,24.12,45.0,,23.48,45.0
519.8013079166412,,24.12,45.0,,23.48,45.0
524.6709911823273,,24.12,45.0,,23.51,45.0
529.5964961051941,,24.12,45.0,,23.48,45.0
534.4724309444427,,24.12,45.0,,23.48,45.0
539.4831502437592,,24.12,45.0,,23.48,45.0
544.3998799324036,,24.12,45.0,,23.48,45.0
549.2949571609497,,24.12,45.0,,23.48,45.0
554.1977689266205,,24.12,45.0,,23.48,45.0
559.0943777561188,,24.12,45.0,,23.48,45.0
564.0244042873383,,24.12,45.0,,23.48,45.0
568.9132137298584,,24.12,45.0,,23.48,45.0
573.8181221485138,,24.12,45.0,,23.48,45.0
578.8123223781586,,24.12,45.0,,23.48,45.0
583.7323687076569,,24.12,45.0,,23.48,45.0
588.6107711791992,,24.12,45.0,,23.48,45.0
593.5014071464539,,24.12,45.0,,23.48,45.0
598.5479552745819,,24.12,45.0,,23.48,45.0
603.4201941490173,,24.12,45.0,,23.48,45.0
608.3157911300659,,24.12,45.0,,23.48,45.0
613.1984660625458,,24.12,45.0,,23.48,45.0
618.1678287982941,,24.12,45.0,,23.48,45.0
623.0310425758362,,24.12,45.0,,23.48,45.0
628.1236889362335,,24.12,45.0,,23.48,45.0
633.0174260139465,,24.12,45.0,,23.48,45.0
637.9316744804382,,24.12,45.0,,23.48,45.0
642.8558876514435,,24.12,45.0,,23.48,45.0
647.7387003898621,,24.12,45.0,,23.48,45.0
652.6674773693085,,24.12,45.0,,23.48,45.0
657.7127273082733,,24.12,45.0,,23.48,45.0
662.5731065273285,,24.12,45.0,,23.48,45.0
667.4396216869354,,24.12,45.0,,23.48,45.0
673.3969614505768,,24.12,45.0,,23.48,45.0
678.2933006286621,,24.12,45.0,,23.48,45.0
683.190333366394,,24.12,45.0,,23.48,45.0
688.1018342971802,,24.12,45.0,,23.48,45.0
693.0247006416321,,24.09,45.0,,23.48,45.0
697.9154553413391,,24.12,45.0,,23.48,45.0
702.7915296554565,,24.12,45.0,,23.48,45.0
707.7044856548309,,24.12,45.0,,23.48,45.0
712.5845456123352,,24.12,45.0,,23.48,45.0
717.4859156608582,,24.12,45.0,,23.48,45.0
722.3743228912354,,24.12,45.0,,23.48,45.0
727.2898685932159,,24.09,45.0,,23.48,45.0
732.1773397922516,,24.12,45.0,,23.48,45.0
737.0770699977875,,24.06,45.0,,23.48,45.0
741.9742317199707,,24.09,45.0,,23.48,45.0
746.9078664779663,,24.12,45.0,,23.48,45.0
751.8429811000824,,24.12,45.0,,23.48,45.0
756.7270452976227,,24.12,45.0,,23.48,45.0
761.6525812149048,,24.12,45.0,,23.48,45.0
766.5536119937897,,24.09,45.0,,23.48,45.0
771.4285137653351,,24.12,45.0,,23.48,45.0
776.3266551494598,,24.09,45.0,,23.48,45.0
781.2764413356781,,24.12,45.0,,23.48,45.0
786.1949746608734,,24.12,45.0,,23.48,45.0
791.0591700077057,,24.09,45.0,,23.48,45.0
795.9728846549988,,24.12,45.0,,23.48,45.0
800.9349925518036,,24.09,45.0,,23.48,45.0
805.9516413211823,,24.09,45.0,,23.48,45.0
810.8604936599731,,24.09,45.0,,23.48,45.0
815.8104696273804,,24.09,45.0,,23.48,45.0
820.6904098987579,,24.09,45.0,,23.48,45.0
825.5551986694336,,24.12,45.0,,23.48,45.0
830.4196395874023,,24.09,45.0,,23.48,45.0
835.3299508094788,,24.06,45.0,,23.48,45.0
840.2110707759857,,24.09,45.0,,23.48,45.0
845.0916800498962,,24.09,45.0,,23.48,45.0
849.9644782543182,,24.02,45.0,,23.48,45.0
854.9014284610748,,24.09,45.0,,23.48,45.0
859.7647924423218,,24.09,45.0,,23.48,45.0
864.6319150924683,,24.09,45.0,,23.48,45.0
869.5377423763275,,24.06,45.0,,23.48,45.0
874.3944139480591,,23.96,45.0,,23.48,45.0
879.2393131256104,,24.02,45.0,,23.48,45.0
884.1153309345245,,24.02,45.0,,23.48,45.0
889.0358638763428,,23.96,45.0,,23.48,45.0
893.9144148826599,,23.96,45.0,,23.48,45.0
898.7798075675964,,23.86,45.0,,23.48,45.0
903.6771266460419,,23.99,45.0,,23.48,45.0
908.6002652645111,,23.9,45.0,,23.48,45.0
913.4333312511444,,23.8,45.0,,23.48,45.0
