[59.5981912  30.18646756] 

5 min 0 sec   SP1: 52.0  SP2: 24.0    T1: 20.949499999999997   T2: 20.949499999999997     H1: 0.0   H2: 0.0
5 min 1 sec   SP1: 52.0  SP2: 24.0    T1: 20.6272   T2: 20.949499999999997     H1: 59.59819119862726   H2: 30.186467555591786
5 min 2 sec   SP1: 52.0  SP2: 24.0    T1: 20.949499999999997   T2: 20.949499999999997     H1: 59.59819119862726   H2: 30.186467555591786
5 min 3 sec   SP1: 52.0  SP2: 24.0    T1: 20.949499999999997   T2: 20.949499999999997     H1: 59.59819119862726   H2: 30.186467555591786
5 min 4 sec   SP1: 52.0  SP2: 24.0    T1: 20.949499999999997   T2: 20.949499999999997     H1: 59.59819119862726   H2: 30.186467555591786
5 min 5 sec   SP1: 52.0  SP2: 24.0    T1: 20.949499999999997   T2: 20.949499999999997     H1: 59.59819119862726   H2: 30.186467555591786
5 min 6 sec   SP1: 52.0  SP2: 24.0    T1: 20.949499999999997   T2: 20.949499999999997     H1: 59.59819119862726   H2: 30.186467555591786
5 min 7 sec   SP1: 52.0  SP2: 24.0    T1: 21.2718   T2: 20.949499999999997     H1: 59.59819119862726   H2: 30.186467555591786
5 min 8 sec   SP1: 52.0  SP2: 24.0    T1: 21.2718   T2: 20.949499999999997     H1: 59.59819119862726   H2: 30.186467555591786
5 min 9 sec   SP1: 52.0  SP2: 24.0    T1: 21.2718   T2: 20.949499999999997     H1: 59.59819119862726   H2: 30.186467555591786
5 min 10 sec   SP1: 52.0  SP2: 24.0    T1: 21.594099999999997   T2: 20.949499999999997     H1: 59.59819119862726   H2: 30.186467555591786
5 min 11 sec   SP1: 52.0  SP2: 24.0    T1: 21.594099999999997   T2: 20.949499999999997     H1: 59.59819119862726   H2: 30.186467555591786
5 min 12 sec   SP1: 52.0  SP2: 24.0    T1: 21.594099999999997   T2: 21.2718     H1: 59.59819119862726   H2: 30.186467555591786
5 min 13 sec   SP1: 52.0  SP2: 24.0    T1: 21.9164   T2: 21.2718     H1: 59.59819119862726   H2: 30.186467555591786
5 min 14 sec   SP1: 52.0  SP2: 24.0    T1: 21.9164   T2: 20.949499999999997     H1: 59.59819119862726   H2: 30.186467555591786
5 min 15 sec   SP1: 52.0  SP2: 24.0    T1: 22.238699999999998   T2: 21.2718     H1: 59.59819119862726   H2: 30.186467555591786
5 min 16 sec   SP1: 52.0  SP2: 24.0    T1: 22.238699999999998   T2: 21.2718     H1: 59.59819119862726   H2: 30.186467555591786
5 min 17 sec   SP1: 52.0  SP2: 24.0    T1: 22.561   T2: 21.2718     H1: 59.59819119862726   H2: 30.186467555591786
5 min 18 sec   SP1: 52.0  SP2: 24.0    T1: 22.8833   T2: 21.594099999999997     H1: 59.59819119862726   H2: 30.186467555591786
5 min 19 sec   SP1: 52.0  SP2: 24.0    T1: 22.8833   T2: 21.594099999999997     H1: 59.59819119862726   H2: 30.186467555591786
5 min 20 sec   SP1: 52.0  SP2: 24.0    T1: 22.8833   T2: 21.594099999999997     H1: 59.59819119862726   H2: 30.186467555591786
5 min 21 sec   SP1: 52.0  SP2: 24.0    T1: 23.205599999999997   T2: 21.594099999999997     H1: 59.59819119862726   H2: 30.186467555591786
5 min 22 sec   SP1: 52.0  SP2: 24.0    T1: 23.205599999999997   T2: 21.594099999999997     H1: 59.59819119862726   H2: 30.186467555591786
